Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
0,Afghanistan,0.396573007,0.382,-3.674734978,-0.0964294,-0.102,5.77686888,2.566900015,2.523,-1.710234709,52.59000015,52.493,-0.184445997,7.462860584,7.695,3.110595641,0.933686554,0.924,-1.037452447,South Asia,0.470366955,0.463,-1.566214404
1,Albania,0.781994224,0.785,0.384373172,-0.042309489,-0.03,-29.09392028,4.882699966,5.117,4.798575289,68.70813751,68.999,0.423330482,9.417930603,9.52,1.083777332,0.896303713,0.901,0.523961569,Central and Eastern Europe,0.671070457,0.697,3.863907691
2,Algeria,0.466610909,0.48,2.869433771,-0.121105164,-0.067,-44.67618243,5.005099773,4.887,-2.359588787,65.90517426,66.005,0.151468744,9.537964821,9.342,-2.05457689,0.735485137,0.752,2.245438034,Middle East and North Africa,0.803385139,0.802,-0.172412823
3,Argentina,0.831132412,0.828,-0.376884833,-0.194913864,-0.182,-6.62542096,5.974699974,5.929,-0.764891529,68.80380249,69,0.285155039,9.810955048,9.962,1.539554011,0.842009842,0.834,-0.951276529,Latin America and Caribbean,0.900567949,0.898,-0.285147723
4,Armenia,0.712017834,0.825,15.86788429,-0.13877961,-0.168,21.05524724,4.676799774,5.283,12.96185972,66.75065613,67.055,0.455941391,9.100476265,9.487,4.247291282,0.773544788,0.629,-18.68602701,Commonwealth of Independent States,0.757479429,0.799,5.481412354
5,Australia,0.915431738,0.914,-0.156400302,0.19046016,0.159,-16.51797415,7.222799778,7.183,-0.551029784,73.60453796,73.9,0.401418239,10.72059631,10.796,0.703353506,0.41516912,0.442,6.462638647,North America and ANZ,0.944854617,0.94,-0.513795129
6,Austria,0.899989486,0.908,0.890067509,0.085429221,0.042,-50.83649422,7.294199944,7.268,-0.359188728,73.00250244,73.3,0.407516934,10.7428236,10.906,1.518933998,0.499954879,0.481,-3.791317936,Western Europe,0.928045869,0.934,0.641577232
7,Azerbaijan,0.786824107,0.814,3.453871425,-0.240255281,-0.223,-7.182061068,5.164800167,5.171,0.120040133,65.50839996,65.656,0.225314677,9.687726974,9.569,-1.22554005,0.55253756,0.506,-8.422515204,Commonwealth of Independent States,0.819308281,0.836,2.037294067
8,Bahrain,0.905855775,0.925,2.113385544,0.13372919,0.089,-33.44758912,6.227300167,6.647,6.73967565,68.5,69.495,1.452554745,10.67638016,10.669,-0.069126051,0.7393471,0.722,-2.346272813,Middle East and North Africa,0.876342118,0.862,-1.636588919
9,Bangladesh,0.90062499,0.877,-2.623177267,-0.033664726,-0.041,21.78919858,4.832799911,5.025,3.976992479,64.50306702,64.8,0.46033932,8.287063599,8.454,2.014421622,0.661843538,0.682,3.045502576,South Asia,0.687292993,0.693,0.830360131
10,Belarus,0.639163077,0.65,1.695486393,-0.164926544,-0.18,9.139496672,5.539899826,5.534,-0.10649698,66.10433197,66.253,0.224899073,9.779945374,9.853,0.746983988,0.63571167,0.627,-1.370380695,Commonwealth of Independent States,0.90674746,0.91,0.358704065
