,Country,Region,Var,Year,Value
0,Afghanistan,South Asia,Freedom to make life choices,2020,0.396573007
1,Albania,Central and Eastern Europe,Freedom to make life choices,2020,0.781994224
2,Algeria,Middle East and North Africa,Freedom to make life choices,2020,0.466610909
3,Argentina,Latin America and Caribbean,Freedom to make life choices,2020,0.831132412
4,Armenia,Commonwealth of Independent States,Freedom to make life choices,2020,0.712017834
5,Australia,North America and ANZ,Freedom to make life choices,2020,0.915431738
6,Austria,Western Europe,Freedom to make life choices,2020,0.899989486
7,Azerbaijan,Commonwealth of Independent States,Freedom to make life choices,2020,0.786824107
8,Bahrain,Middle East and North Africa,Freedom to make life choices,2020,0.905855775
9,Bangladesh,South Asia,Freedom to make life choices,2020,0.90062499
10,Belarus,Commonwealth of Independent States,Freedom to make life choices,2020,0.639163077
11,Belgium,Western Europe,Freedom to make life choices,2020,0.813582063
12,Benin,Sub-Saharan Africa,Freedom to make life choices,2020,0.735182583
13,Bolivia,Latin America and Caribbean,Freedom to make life choices,2020,0.875873327
14,Bosnia and Herzegovina,Central and Eastern Europe,Freedom to make life choices,2020,0.651352704
15,Botswana,Sub-Saharan Africa,Freedom to make life choices,2020,0.821328104
16,Brazil,Latin America and Caribbean,Freedom to make life choices,2020,0.799804807
17,Bulgaria,Central and Eastern Europe,Freedom to make life choices,2020,0.745178163
18,Burkina Faso,Sub-Saharan Africa,Freedom to make life choices,2020,0.665563583
19,Burundi,Sub-Saharan Africa,Freedom to make life choices,2020,0.626350224
20,Cambodia,Southeast Asia,Freedom to make life choices,2020,0.959704638
21,Cameroon,Sub-Saharan Africa,Freedom to make life choices,2020,0.763051808
22,Canada,North America and ANZ,Freedom to make life choices,2020,0.933913231
23,Central African Republic,Sub-Saharan Africa,Freedom to make life choices,2020,0.640880644
24,Chad,Sub-Saharan Africa,Freedom to make life choices,2020,0.587305248
25,Chile,Latin America and Caribbean,Freedom to make life choices,2020,0.744896293
26,China,East Asia,Freedom to make life choices,2020,0.898517907
27,Colombia,Latin America and Caribbean,Freedom to make life choices,2020,0.836179912
28,Comoros,Sub-Saharan Africa,Freedom to make life choices,2020,0.547612607
29,Congo (Brazzaville),Sub-Saharan Africa,Freedom to make life choices,2020,0.719058514
30,Congo (Kinshasa),Sub-Saharan Africa,Freedom to make life choices,2020,0.700793564
31,Costa Rica,Latin America and Caribbean,Freedom to make life choices,2020,0.934738934
32,Croatia,Central and Eastern Europe,Freedom to make life choices,2020,0.714838803
33,Cyprus,Western Europe,Freedom to make life choices,2020,0.779858291
34,Czech Republic,Central and Eastern Europe,Freedom to make life choices,2020,0.818537354
35,Denmark,Western Europe,Freedom to make life choices,2020,0.951444268
36,Dominican Republic,Latin America and Caribbean,Freedom to make life choices,2020,0.866202772
37,Ecuador,Latin America and Caribbean,Freedom to make life choices,2020,0.859828949
38,Egypt,Middle East and North Africa,Freedom to make life choices,2020,0.708354175
39,El Salvador,Latin America and Caribbean,Freedom to make life choices,2020,0.833805263
40,Estonia,Central and Eastern Europe,Freedom to make life choices,2020,0.87770915
41,Ethiopia,Sub-Saharan Africa,Freedom to make life choices,2020,0.740795195
42,Finland,Western Europe,Freedom to make life choices,2020,0.949172199
43,France,Western Europe,Freedom to make life choices,2020,0.825467646
44,Gabon,Sub-Saharan Africa,Freedom to make life choices,2020,0.704829216
45,Gambia,Sub-Saharan Africa,Freedom to make life choices,2020,0.733163178
46,Georgia,Commonwealth of Independent States,Freedom to make life choices,2020,0.801641524
47,Germany,Western Europe,Freedom to make life choices,2020,0.867371082
48,Ghana,Sub-Saharan Africa,Freedom to make life choices,2020,0.794796526
49,Greece,Western Europe,Freedom to make life choices,2020,0.541345119
50,Guatemala,Latin America and Caribbean,Freedom to make life choices,2020,0.908147573
51,Guinea,Sub-Saharan Africa,Freedom to make life choices,2020,0.706846774
52,Haiti,Latin America and Caribbean,Freedom to make life choices,2020,0.537825167
53,Honduras,Latin America and Caribbean,Freedom to make life choices,2020,0.870603263
54,Hong Kong S.A.R. of China,East Asia,Freedom to make life choices,2020,0.779833794
55,Hungary,Central and Eastern Europe,Freedom to make life choices,2020,0.718964577
56,Iceland,Western Europe,Freedom to make life choices,2020,0.948891878
57,India,South Asia,Freedom to make life choices,2020,0.881444871
58,Indonesia,Southeast Asia,Freedom to make life choices,2020,0.870614409
59,Iran,Middle East and North Africa,Freedom to make life choices,2020,0.647873282
60,Iraq,Middle East and North Africa,Freedom to make life choices,2020,0.633182645
61,Ireland,Western Europe,Freedom to make life choices,2020,0.886982977
62,Israel,Middle East and North Africa,Freedom to make life choices,2020,0.747580588
63,Italy,Western Europe,Freedom to make life choices,2020,0.66465199
64,Ivory Coast,Sub-Saharan Africa,Freedom to make life choices,2020,0.727909327
65,Jamaica,Latin America and Caribbean,Freedom to make life choices,2020,0.858068526
66,Japan,East Asia,Freedom to make life choices,2020,0.809961379
67,Jordan,Middle East and North Africa,Freedom to make life choices,2020,0.75104779
68,Kazakhstan,Commonwealth of Independent States,Freedom to make life choices,2020,0.811601937
69,Kenya,Sub-Saharan Africa,Freedom to make life choices,2020,0.829747558
70,Kosovo,Central and Eastern Europe,Freedom to make life choices,2020,0.861535907
71,Kuwait,Middle East and North Africa,Freedom to make life choices,2020,0.872366488
72,Kyrgyzstan,Commonwealth of Independent States,Freedom to make life choices,2020,0.909374893
73,Laos,Southeast Asia,Freedom to make life choices,2020,0.907213569
74,Latvia,Central and Eastern Europe,Freedom to make life choices,2020,0.671237648
75,Lebanon,Middle East and North Africa,Freedom to make life choices,2020,0.551357508
76,Lesotho,Sub-Saharan Africa,Freedom to make life choices,2020,0.738125861
77,Liberia,Sub-Saharan Africa,Freedom to make life choices,2020,0.735268712
78,Libya,Middle East and North Africa,Freedom to make life choices,2020,0.773157001
79,Lithuania,Central and Eastern Europe,Freedom to make life choices,2020,0.747381449
80,Luxembourg,Western Europe,Freedom to make life choices,2020,0.90563643
81,Macedonia,Central and Eastern Europe,Freedom to make life choices,2020,0.738840938
82,Madagascar,Sub-Saharan Africa,Freedom to make life choices,2020,0.557574093
83,Malawi,Sub-Saharan Africa,Freedom to make life choices,2020,0.803223193
84,Malaysia,Southeast Asia,Freedom to make life choices,2020,0.894626856
85,Maldives,South Asia,Freedom to make life choices,2020,0.853962779
86,Mali,Sub-Saharan Africa,Freedom to make life choices,2020,0.71156615
87,Malta,Western Europe,Freedom to make life choices,2020,0.924911439
88,Mauritania,Sub-Saharan Africa,Freedom to make life choices,2020,0.551522553
89,Mauritius,Sub-Saharan Africa,Freedom to make life choices,2020,0.889534533
90,Mexico,Latin America and Caribbean,Freedom to make life choices,2020,0.858709276
91,Moldova,Commonwealth of Independent States,Freedom to make life choices,2020,0.721609175
92,Mongolia,East Asia,Freedom to make life choices,2020,0.693351328
93,Montenegro,Central and Eastern Europe,Freedom to make life choices,2020,0.649565637
94,Morocco,Middle East and North Africa,Freedom to make life choices,2020,0.772072434
95,Mozambique,Sub-Saharan Africa,Freedom to make life choices,2020,0.864451885
96,Myanmar,Southeast Asia,Freedom to make life choices,2020,0.895075202
97,Namibia,Sub-Saharan Africa,Freedom to make life choices,2020,0.767520964
98,Nepal,South Asia,Freedom to make life choices,2020,0.797565043
99,Netherlands,Western Europe,Freedom to make life choices,2020,0.908547819
100,New Zealand,North America and ANZ,Freedom to make life choices,2020,0.936217487
101,Nicaragua,Latin America and Caribbean,Freedom to make life choices,2020,0.863902867
102,Niger,Sub-Saharan Africa,Freedom to make life choices,2020,0.759772122
103,Nigeria,Sub-Saharan Africa,Freedom to make life choices,2020,0.759578407
104,North Cyprus,Western Europe,Freedom to make life choices,2020,0.79529351
105,North Macedonia,Central and Eastern Europe,Freedom to make life choices,2020,
106,Norway,Western Europe,Freedom to make life choices,2020,0.955750287
107,Pakistan,South Asia,Freedom to make life choices,2020,0.734833717
108,Palestinian Territories,Middle East and North Africa,Freedom to make life choices,2020,0.645791829
109,Panama,Latin America and Caribbean,Freedom to make life choices,2020,0.880366504
110,Paraguay,Latin America and Caribbean,Freedom to make life choices,2020,0.885923445
111,Peru,Latin America and Caribbean,Freedom to make life choices,2020,0.824766099
112,Philippines,Southeast Asia,Freedom to make life choices,2020,0.915463448
113,Poland,Central and Eastern Europe,Freedom to make life choices,2020,0.862055779
114,Portugal,Western Europe,Freedom to make life choices,2020,0.888747811
115,Romania,Central and Eastern Europe,Freedom to make life choices,2020,0.842823207
116,Russia,Commonwealth of Independent States,Freedom to make life choices,2020,0.729892612
117,Rwanda,Sub-Saharan Africa,Freedom to make life choices,2020,0.900589406
118,Saudi Arabia,Middle East and North Africa,Freedom to make life choices,2020,0.854191244
119,Senegal,Sub-Saharan Africa,Freedom to make life choices,2020,0.690596163
120,Serbia,Central and Eastern Europe,Freedom to make life choices,2020,0.726495862
121,Sierra Leone,Sub-Saharan Africa,Freedom to make life choices,2020,0.715315044
122,Singapore,Southeast Asia,Freedom to make life choices,2020,0.926645339
123,Slovakia,Central and Eastern Europe,Freedom to make life choices,2020,0.749952674
124,Slovenia,Central and Eastern Europe,Freedom to make life choices,2020,0.936142623
125,South Africa,Sub-Saharan Africa,Freedom to make life choices,2020,0.759330094
126,South Korea,East Asia,Freedom to make life choices,2020,0.612965107
127,South Sudan,Sub-Saharan Africa,Freedom to make life choices,2020,0.451313615
128,Spain,Western Europe,Freedom to make life choices,2020,0.751989543
129,Sri Lanka,South Asia,Freedom to make life choices,2020,0.837633669
130,Swaziland,Sub-Saharan Africa,Freedom to make life choices,2020,0.646822274
131,Sweden,Western Europe,Freedom to make life choices,2020,0.939144194
132,Switzerland,Western Europe,Freedom to make life choices,2020,0.921336651
133,Taiwan Province of China,East Asia,Freedom to make life choices,2020,0.77153033
134,Tajikistan,Commonwealth of Independent States,Freedom to make life choices,2020,0.831383407
135,Tanzania,Sub-Saharan Africa,Freedom to make life choices,2020,0.82153976
136,Thailand,Southeast Asia,Freedom to make life choices,2020,0.905063033
137,Togo,Sub-Saharan Africa,Freedom to make life choices,2020,0.649828613
138,Trinidad and Tobago,Latin America and Caribbean,Freedom to make life choices,2020,0.857907116
139,Tunisia,Middle East and North Africa,Freedom to make life choices,2020,0.593361557
140,Turkey,Middle East and North Africa,Freedom to make life choices,2020,0.608830452
141,Turkmenistan,Commonwealth of Independent States,Freedom to make life choices,2020,0.826457024
142,Uganda,Sub-Saharan Africa,Freedom to make life choices,2020,0.731713951
143,Ukraine,Commonwealth of Independent States,Freedom to make life choices,2020,0.663081884
144,United Arab Emirates,Middle East and North Africa,Freedom to make life choices,2020,0.941345513
145,United Kingdom,Western Europe,Freedom to make life choices,2020,0.834743679
146,United States,North America and ANZ,Freedom to make life choices,2020,0.842619538
147,Uruguay,Latin America and Caribbean,Freedom to make life choices,2020,0.892395437
148,Uzbekistan,Commonwealth of Independent States,Freedom to make life choices,2020,0.974998116
149,Venezuela,Latin America and Caribbean,Freedom to make life choices,2020,0.62327832
150,Vietnam,Southeast Asia,Freedom to make life choices,2020,0.939592957
151,Yemen,Middle East and North Africa,Freedom to make life choices,2020,0.599920273
152,Zambia,Sub-Saharan Africa,Freedom to make life choices,2020,0.806500256
153,Zimbabwe,Sub-Saharan Africa,Freedom to make life choices,2020,0.711457908
